"29083","PUJOLS","33350"
"29084","ST JEAN D ILLAC","33127"
"29085","ST LOUIS DE MONTFERRAND","33440"
"29086","ST SULPICE DE POMMIERS","33540"
"29087","SILLAS","33690"
"29088","SOUSSAC","33790"
"29089","TARNES","33240"
"29090","LE TEICH","33470"
"29091","YVRAC","33370"
"29649","BLESIGNAC","33670"
"29650","BRUGES","33520"
"29651","DAUBEZE","33540"
"29652","IZON","33450"
"29653","LANGOIRAN","33550"
"29654","MARGUERON","33220"
"29655","MAZION","33390"
"29656","NOAILLAN","33730"
"29657","ST ANDRE ET APPELLES","33220"
"29658","ST ESTEPHE","33180"
"29659","ST GENES DE BLAYE","33390"
"29660","ST GIRONS D AIGUEVIVES","33920"
"29661","ST SEVE","33190"
"30626","ASQUES","33240"
"30627","BARIE","33190"
"30628","BASSENS","33530"
"30629","BELLEFOND","33760"
"30630","CENAC","33360"
"30631","CUBNEZAIS","33620"
"30632","FLAUJAGUES","33350"
"30633","GUILLAC","33420"
"30634","LESPARRE MEDOC","33340"
"30635","MARANSIN","33230"
"30636","MASSUGAS","33790"
"30637","ORIGNE","33113"
"30638","PAUILLAC","33250"
"30639","RUCH","33350"
"30640","ST AUBIN DE BLAYE","33820"
"30641","ST VIVIEN DE MONSEGUR","33580"
"30642","SOULIGNAC","33760"
"30643","TAILLECAVAT","33580"
"30644","VIRSAC","33240"
"34735","AUBIAC","33430"
"34736","BEYCHAC ET CAILLAU","33750"
"34737","BROUQUEYRAN","33124"
"34738","COUQUEQUES","33340"
"34739","ETAULIERS","33820"
"34740","EYRANS","33390"
"34741","HOSTENS","33125"
"34742","LA LANDE DE FRONSAC","33240"
"34743","PAREMPUYRE","33290"
"34744","LA REOLE","33190"
"34745","ST AVIT ST NAZAIRE","33220"
"34746","ST BRICE","33540"
"34747","ST PAUL","33390"
"34748","LE TAILLAN MEDOC","33320"
"34749","VIGNONET","33330"
"34750","VILLENAVE DE RIONS","33550"
"36497","BEGLES","33130"
"36498","BLAIGNAC","33190"
"36499","BLAIGNAN","33340"
"36500","BOMMES","33210"
"36501","BORDEAUX","33800"
"36502","CAZATS","33430"
"36503","CREON","33670"
"36504","EYSINES","33320"
"36505","GRAYAN ET L HOPITAL","33590"
"36506","ILLATS","33720"
"36507","MARCILLAC","33860"
"36508","PUGNAC","33710"
"36509","ST ANDRE DU BOIS","33490"
"36510","ST ANTOINE SUR L ISLE","33660"
"36511","ST EMILION","33330"
"36512","ST FELIX DE FONCAUDE","33540"
"36513","ST GENIS DU BOIS","33760"
"36514","ST LEON","33670"
"36515","ST MEDARD D EYRANS","33650"
"36516","ST MEDARD EN JALLES","33160"
"36517","ST VINCENT DE PERTIGNAS","33420"
"36518","SENDETS","33690"
